id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,clasificacion
freysa-ai,fai,Freysa AI,https://coin-images.coingecko.com/coins/images/52315/large/FAI.png?1733076295,0.01540716,126179979.0,385.0,126179979.0,2297719.0,0.01588837,0.0152115,0.0001004,0.65592,793303.0,0.63269,8189700000.0,8189700000.0,8189700000.0,0.080047,-80.81617,2025-01-06T16:31:35.641Z,0.00158821,866.88147,2024-12-03T02:35:38.265Z,,2025-05-05T00:58:09.255Z,ai
paal-ai,paal,PAAL AI,https://coin-images.coingecko.com/coins/images/30815/large/Paal_New_Logo_%281%29.png?1718160584,0.131941,118121437.0,402.0,131952997.0,7021616.0,0.135991,0.129556,-0.002746803083981897,-2.03938,-2530945.9298220873,-2.09772,895178125.2406325,1000000000.0,1000000000.0,0.859797,-84.69352,2024-03-10T08:04:37.408Z,4.587e-05,286796.10797,2023-07-24T15:18:13.699Z,,2025-05-05T00:58:13.878Z,ai
venice-token,vvv,Venice Token,https://coin-images.coingecko.com/coins/images/54023/large/VVV_Token_Transparent.png?1741856877,3.82,113613346.0,418.0,269173075.0,7931102.0,3.92,3.68,-0.035828938206162064,-0.93031,-443858.78123784065,-0.38915,29691800.80915151,70345902.0055106,,22.58,-83.09971,2025-01-28T00:06:36.780Z,1.8,112.34127,2025-04-07T06:56:19.605Z,,2025-05-05T00:58:08.931Z,ai
io,io,io.net,https://coin-images.coingecko.com/coins/images/37754/large/io_blackbg.png?1715446363,0.721355,112970429.0,420.0,576980076.0,22508842.0,0.75345,0.706044,-0.026206296890703307,-3.50557,-4132084.128638163,-3.5286,156636838.82,799999930.1790109,800000000.0,6.43,-88.80873,2024-06-12T21:14:55.143Z,0.513737,39.9791,2025-04-09T01:31:44.051Z,,2025-05-05T00:58:13.269Z,ai
zignaly,zig,ZIGChain,https://coin-images.coingecko.com/coins/images/14796/large/zig.jpg?1731990265,0.079864,112524115.0,421.0,156050176.0,977286.0,0.083851,0.07965,-0.003527318452076642,-4.22983,-4951609.920473501,-4.21501,1408940795.2396517,1953940795.2396517,1953940795.2396517,0.224179,-64.35197,2021-04-15T15:39:42.111Z,0.00428716,1764.06469,2023-07-15T05:31:20.452Z,,2025-05-05T00:58:09.211Z,ai
arcblock,abt,Arcblock,https://coin-images.coingecko.com/coins/images/2341/large/arcblock.png?1696503220,1.07,105178003.0,431.0,198449063.0,13447298.0,1.35,0.931014,0.104524,10.83042,9762037.0,10.23103,98580000.0,186000000.0,,4.69,-77.18757,2024-05-21T23:22:28.803Z,0.04949826,2063.76436,2020-03-13T02:17:32.390Z,"{'times': 0.1185121293008283, 'currency': 'eth', 'percentage': 11.85121293008283}",2025-05-05T00:58:09.456Z,ai
zelcash,flux,Flux,https://coin-images.coingecko.com/coins/images/5163/large/Flux_symbol_blue-white.png?1696505679,0.268542,103036727.0,436.0,103055086.0,6117750.0,0.287648,0.266681,-0.016582601843578182,-5.81591,-6493182.538943052,-5.92823,383877509.4991484,383945909.4991484,440000000.0,3.33,-91.9268,2022-01-03T10:18:02.680Z,0.01640374,1536.84237,2021-01-13T05:29:57.987Z,,2025-05-05T00:58:13.003Z,ai
delysium,agi,Delysium,https://coin-images.coingecko.com/coins/images/29299/large/AGI_logo_200.png?1696528251,0.060535,100250854.0,444.0,181606006.0,2762091.0,0.063029,0.059877,-0.001877921185490551,-3.00885,-3442502.490330249,-3.31989,1656071664.599019,3000000000.0,3000000000.0,0.672035,-91.00043,2024-03-09T23:55:28.155Z,0.01230869,391.36253,2023-10-20T12:35:20.638Z,,2025-05-05T00:58:06.927Z,ai
singularitynet,agix,SingularityNET,https://coin-images.coingecko.com/coins/images/2138/large/singularitynet.png?1696503103,0.302198,93432271.0,470.0,140007788.0,41236.0,0.312753,0.300527,-0.002439299573836262,-0.80072,-556271.688597545,-0.59185,309124355.7324075,463221292.7794273,2000000000.0,1.46,-79.34374,2024-03-10T00:24:59.207Z,0.00747159,3938.69623,2020-03-13T02:24:16.528Z,"{'times': 2.021984996131072, 'currency': 'usd', 'percentage': 202.1984996131072}",2025-05-05T00:58:05.587Z,ai
chaingpt,cgpt,ChainGPT,https://coin-images.coingecko.com/coins/images/29306/large/200x200.png?1696528257,0.111548,91659188.0,477.0,111208681.0,28352555.0,0.114435,0.107862,-0.001053549781787275,-0.93564,633446.0,0.6959,822464281.0,997883248.0,1000000000.0,0.555799,-79.96377,2024-03-12T12:05:22.099Z,0.03568486,212.06856,2023-09-12T11:26:35.300Z,,2025-05-05T00:58:12.684Z,ai
everipedia,iq,IQ,https://coin-images.coingecko.com/coins/images/5010/large/YAIS3fUh.png?1696505542,0.00410854,88826552.0,488.0,88826552.0,1863348.0,0.00424246,0.00410634,-8.6587564337005e-05,-2.064,-1957492.0289793015,-2.15621,21618292951.929,21618292951.929,60000000000.0,0.072382,-94.32377,2018-07-16T07:35:38.970Z,0.00063047,551.66434,2020-03-13T02:29:15.457Z,,2025-05-05T00:58:18.757Z,ai
carv,carv,CARV,https://coin-images.coingecko.com/coins/images/37689/large/CARV_%281%29.png?1728418485,0.342177,88288212.0,492.0,342161906.0,5278392.0,0.343583,0.337038,0.00089367,0.26186,142951.0,0.16218,258030512.18,1000000000.0,1000000000.0,1.36,-74.93253,2024-11-02T15:50:28.103Z,0.273619,24.92379,2024-10-10T03:52:45.691Z,,2025-05-05T00:58:09.836Z,ai
morphware,xmw,Morphware,https://coin-images.coingecko.com/coins/images/50298/large/morphware_200_200.png?1727020889,0.111354,86913483.0,494.0,137279013.0,282778.0,0.123961,0.111344,-0.01260711358741666,-10.17019,-9643342.177537173,-9.98722,780582622.2736651,1232922769.0,1232922769.0,0.196969,-43.07028,2024-12-13T08:42:12.461Z,0.00563276,1890.74243,2024-09-22T17:35:56.447Z,,2025-05-05T00:58:04.248Z,ai
humans-ai,heart,Humans.ai,https://coin-images.coingecko.com/coins/images/21273/large/h_logo_1x.png?1696520644,0.01101543,85974734.0,506.0,85974734.0,445248.0,0.01128648,0.01098696,-0.000252503384622155,-2.2409,-2066079.3478027433,-2.34673,7800000000.0,7800000000.0,7800000000.0,0.278557,-96.0422,2021-12-26T18:32:54.961Z,0.00370636,197.45459,2022-12-18T06:41:04.832Z,,2025-05-05T00:58:07.684Z,ai
pha,pha,PHALA,https://coin-images.coingecko.com/coins/images/12451/large/phala.png?1696512270,0.105109,83356479.0,512.0,105145636.0,21508585.0,0.105521,0.098569,0.00650659,6.59881,5507856.0,7.07508,792771644.6485547,1000000000.0,1000000000.0,1.39,-92.41721,2021-05-15T04:20:32.741Z,0.064594,63.25214,2020-09-12T12:15:05.468Z,,2025-05-05T00:58:18.222Z,ai
iexec-rlc,rlc,iExec RLC,https://coin-images.coingecko.com/coins/images/646/large/pL1VuXm.png?1696501840,1.12,81140336.0,517.0,97526158.0,3347307.0,1.14,1.1,8.768e-05,0.00782,91788.0,0.11325,72382548.06525737,86999784.9868455,86999784.9868455,15.51,-92.76408,2021-05-10T17:59:51.557Z,0.153815,629.67076,2018-12-15T00:00:00.000Z,,2025-05-05T00:58:21.288Z,ai
secret,scrt,Secret,https://coin-images.coingecko.com/coins/images/11871/large/scrt_200.png?1733344413,0.249142,76129303.0,538.0,80059163.0,19354817.0,0.248916,0.213982,0.03331446,15.4357,9897232.0,14.94326,307014030.419472,322862360.066463,,10.38,-97.61076,2021-10-28T12:44:49.785Z,0.147276,68.47158,2025-04-07T06:55:27.579Z,,2025-05-05T00:58:20.129Z,ai
marlin,pond,Marlin,https://coin-images.coingecko.com/coins/images/8903/large/200x200.png?1706115827,0.00925737,75825881.0,539.0,92615275.0,2452923.0,0.00937644,0.00911773,5.619e-05,0.61073,630524.0,0.83852,8187189470.0,10000000000.0,10000000000.0,0.323362,-97.13426,2020-12-21T23:37:33.267Z,0.00653027,41.90399,2022-05-12T07:20:26.962Z,,2025-05-05T00:58:05.570Z,ai
chromaway,chr,Chromia,https://coin-images.coingecko.com/coins/images/5000/large/Chromia.png?1696505533,0.083687,70441557.0,564.0,70441557.0,5859993.0,0.086282,0.082103,-0.001344303440004427,-1.58094,-1070122.836587742,-1.49643,842081914.378197,842081914.378197,978064789.0,1.49,-94.4015,2021-11-20T09:59:59.379Z,0.00874003,854.79733,2020-03-13T02:25:03.256Z,"{'times': 0.6737471570665696, 'currency': 'usd', 'percentage': 67.37471570665696}",2025-05-05T00:58:07.518Z,ai
cookie,cookie,Cookie DAO,https://coin-images.coingecko.com/coins/images/38450/large/cookie_token_logo_200x200.png?1733194528,0.155086,69845515.0,567.0,154973579.0,16691325.0,0.163821,0.149159,-0.001962482285657791,-1.2496,-1145651.6370206922,-1.61379,450663556.1648772,999934558.0,1000000000.0,0.753574,-79.29281,2025-01-10T09:21:09.197Z,0.02002041,679.42427,2024-11-24T22:29:08.511Z,,2025-05-05T00:58:09.830Z,ai
numeraire,nmr,Numeraire,https://coin-images.coingecko.com/coins/images/752/large/numeraire.png?1696501906,8.58,68647297.0,572.0,91489534.0,3729579.0,8.72,8.42,-0.001824163754841734,-0.02127,-1942.524649783969,-0.00283,8007701.310704102,10672246.28085868,11000000.0,93.15,-90.79757,2021-05-16T10:29:06.362Z,2.06,315.26858,2018-11-27T00:00:00.000Z,,2025-05-05T00:58:14.261Z,ai
nosana,nos,Nosana,https://coin-images.coingecko.com/coins/images/22553/large/POfb_I4u_400x400.jpg?1696521873,0.818535,68250804.0,573.0,81835497.0,476290.0,0.856482,0.818218,-0.037947046059458533,-4.43057,-3153643.651411772,-4.41659,83400000.0,100000000.0,,7.83,-89.54402,2024-03-06T19:15:02.968Z,0.01046656,7724.69565,2023-10-23T22:44:28.893Z,,2025-05-05T00:58:14.579Z,ai
wayfinder,prompt,Wayfinder,https://coin-images.coingecko.com/coins/images/55169/large/wayfinder.jpg?1744336900,0.304708,68190331.0,575.0,304556672.0,79663300.0,0.331374,0.285693,-0.02177385919905711,-6.66924,-4987804.033450708,-6.81598,223900304.0,1000000000.0,1000000000.0,0.607139,-50.13949,2025-04-12T16:05:52.227Z,0.169173,78.94263,2025-04-11T05:35:26.462Z,,2025-05-05T00:58:21.291Z,ai
0x0-ai-ai-smart-contract,0x0,0x0.ai: AI Smart Contract,https://coin-images.coingecko.com/coins/images/28880/large/0x0.png?1696527857,0.075105,66923003.0,580.0,66923003.0,93867.0,0.077972,0.074673,-0.002867578783620137,-3.67769,-2336979.3944364116,-3.37421,891250000.0,891250000.0,1000000000.0,0.500356,-85.01027,2024-03-12T00:45:01.748Z,0.0002781,26869.53396,2023-02-01T14:29:44.928Z,,2025-05-05T00:58:05.514Z,ai
saga-2,saga,Saga,https://coin-images.coingecko.com/coins/images/25691/large/zcPXETKs_400x400.jpg?1696524818,0.267767,65619937.0,590.0,284510586.0,11058014.0,0.286923,0.260268,-0.013465885248819365,-4.78815,-3428600.5797805637,-4.96549,245475265.0,1064315438.0,,7.6,-96.5075,2024-04-09T11:05:27.037Z,0.184052,44.21803,2025-04-17T03:35:17.766Z,,2025-05-05T00:58:14.794Z,ai
solidus-aitech,aitech,Solidus Ai Tech,https://coin-images.coingecko.com/coins/images/22114/large/CMC_Logo_200x200.png?1719949930,0.04046739,62752264.0,602.0,80559336.0,13387421.0,0.04169912,0.04046338,-0.00120191369552336,-2.88441,-1811061.768880494,-2.80509,1550626143.0,1990643906.0,2000000000.0,0.493943,-91.80473,2024-03-13T05:09:55.639Z,0.01243728,225.47309,2023-09-28T11:05:15.077Z,,2025-05-05T00:58:03.925Z,ai
heyanon,anon,Hey Anon,https://coin-images.coingecko.com/coins/images/52961/large/AAI__ANON_SQ_Wb_250x250.png?1740500195,4.68,62077380.0,608.0,98374771.0,10432914.0,4.99,4.67,-0.2802728355848547,-5.64522,-3725724.4898192137,-5.66193,13251619.054133,21000000.0,21000000.0,24.73,-81.1154,2025-01-16T13:01:24.137Z,0.922111,406.37133,2024-12-30T23:22:16.512Z,,2025-05-05T00:58:06.822Z,ai
griffain,griffain,GRIFFAIN,https://coin-images.coingecko.com/coins/images/52547/large/aAp7HijF4Uf1SkZO3FsVMyrbBc5kux_0vIlI7Amxiu7ygza2T_Swtp8bA2KoL_yU0YWw7c52LG9wflD7b5KMZ6GNJgDtgQfmMKy75SBQ5ldIHl6qffC9SNWqKyvqKQJ5sWZgJnXztPPsuJD_IVTTdPlabPlxxuNq7OAxQcjCbRxnge3tim3QyyIrc5vTOzWR93BoZVf0pd7EzwziVlhzov.jpg?1733590142,0.059696,59687814.0,616.0,59687814.0,16346979.0,0.064939,0.058233,-0.004257939075558367,-6.65786,-4409902.042939775,-6.87997,999867754.203968,999867754.203968,999880903.89,0.62487,-90.44554,2025-01-22T03:30:30.976Z,0.02438249,144.86004,2025-04-09T01:30:52.584Z,,2025-05-05T00:58:17.554Z,ai
ocean-protocol,ocean,Ocean Protocol,https://coin-images.coingecko.com/coins/images/3687/large/ocean-protocol-logo.jpg?1696504363,0.289478,59211785.0,618.0,274527121.0,157544.0,0.300047,0.289821,-0.009421028716181334,-3.15191,-1537268.0964978933,-2.53052,204155767.1644159,946539534.3702902,1410000000.0,1.93,-84.80466,2021-04-10T09:24:58.915Z,0.01284832,2182.5191,2019-08-11T00:00:00.000Z,"{'times': 1.4123184989627775, 'currency': 'usd', 'percentage': 141.23184989627774}",2025-05-05T00:58:07.942Z,ai
oraichain-token,orai,Oraichain,https://coin-images.coingecko.com/coins/images/12931/large/orai.png?1696512718,3.11,57305299.0,629.0,58862992.0,812009.0,3.23,3.05,-0.08498191984681558,-2.66369,-1569707.6037236452,-2.66617,18456233.0,18957917.0,19779272.0,105.76,-97.067,2021-02-19T23:29:50.620Z,0.904237,243.05466,2022-11-22T08:41:45.561Z,,2025-05-05T00:58:05.081Z,ai
ai-rig-complex,arc,AI Rig Complex,https://coin-images.coingecko.com/coins/images/52701/large/u312bPNA_400x400.jpg?1734044765,0.055329,55329810.0,638.0,55329810.0,9809060.0,0.057603,0.053891,-0.001829470084271492,-3.20072,-1881418.1149021983,-3.28855,999994032.769892,999994032.769892,999998319.33,0.623197,-91.11619,2025-01-22T03:35:28.203Z,0.02788188,98.56502,2025-04-09T01:30:55.062Z,,2025-05-05T00:58:12.441Z,ai
cortex-2,cx,Cortex,https://coin-images.coingecko.com/coins/images/53285/large/CX_Round.png?1735994730,0.04525091,54753606.0,642.0,74509702.0,59267.0,0.04639149,0.04377319,-0.00114057317882367,-2.45858,-1355544.204261139,-2.41591,1210000000.0,1646590000.0,1646590000.0,0.085724,-47.31111,2025-02-13T03:42:35.695Z,0.02207338,104.62285,2025-04-07T07:01:24.116Z,,2025-05-05T00:58:13.907Z,ai
pinlink,pin,PinLink,https://coin-images.coingecko.com/coins/images/51611/large/pin200.png?1736609796,0.678732,54288157.0,647.0,67860196.0,778851.0,0.704829,0.674958,-0.009245078379283567,-1.34381,-647367.4504481703,-1.17841,80000000.0,100000000.0,100000000.0,4.28,-84.0506,2024-12-11T06:30:48.360Z,0.03284694,1978.54573,2024-11-18T05:17:29.707Z,,2025-05-05T00:58:03.961Z,ai
magic,magic,Treasure,https://coin-images.coingecko.com/coins/images/18623/large/magic.png?1696518095,0.170615,53355219.0,651.0,59306930.0,25317866.0,0.178709,0.168893,-0.004939989582219195,-2.81393,-1437743.9880615398,-2.62396,312794114.5572414,347685919.9711497,347714007.0,6.32,-97.30342,2022-02-19T16:24:53.615Z,0.01999252,752.92105,2021-10-07T01:57:51.729Z,,2025-05-05T00:58:05.288Z,ai
ao-computer,ao,ao Computer,https://coin-images.coingecko.com/coins/images/38335/large/ao.png?1717120361,13.14,51141778.0,669.0,51141778.0,2804147.0,13.57,12.94,-0.3300204812922889,-2.45089,-1175577.14930211,-2.24701,3893450.234584,3893450.234584,21000000.0,50.01,-73.7338,2025-04-07T04:32:48.977Z,10.84,21.13692,2025-04-16T13:40:37.836Z,,2025-05-05T00:58:12.198Z,ai
netmind-token,nmt,NetMind Token,https://coin-images.coingecko.com/coins/images/35328/large/NMT-logo.png?1708267799,1.044,49552035.0,680.0,150421248.0,2238556.0,1.046,1.037,-0.001893154445322898,-0.18107,-78844.65357027203,-0.15886,47463213.3542692,144080375.2,144080375.2,16.09,-93.50582,2024-03-09T21:44:31.061Z,0.767094,36.19379,2025-04-09T17:10:47.198Z,,2025-05-05T00:58:13.359Z,ai
alethea-artificial-liquid-intelligence-token,ali,Artificial Liquid Intelligence,https://coin-images.coingecko.com/coins/images/22062/large/ALI-v2.webp?1728501978,0.00595009,48740928.0,685.0,58745639.0,1266239.0,0.00648322,0.00592235,-0.000409783505986855,-6.44326,-3339754.673436694,-6.41266,8189833601.855413,9870903732.0,9870903732.0,0.201312,-97.04364,2022-04-02T01:23:27.379Z,0.00467612,27.27406,2025-03-11T01:41:31.274Z,,2025-05-05T00:58:06.235Z,ai
